# file...... b2m3_house_data.csv
# date...... Thu Jun  9 10:40:14 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,b2m3_house:air_temperature, b2m3_house:outdoor_temperature, b2m3_house:is_COOL_on, b2m3_house:cooling_setpoint, b2m3_house_meter:measured_real_power, b2m3_house_meter:measured_real_energy
2009-08-08 22:44:00 PDT,+90.4276,+72.25,+0,+75,+1274.88,+24837.3
2009-08-08 22:45:00 PDT,+90.3958,+72.232,+0,+75,+1274.88,+24858.6
2009-08-08 22:46:00 PDT,+90.364,+72.214,+0,+75,+1274.88,+24879.8
2009-08-08 22:47:00 PDT,+90.3324,+72.196,+0,+75,+1274.88,+24901.1
2009-08-08 22:48:00 PDT,+90.3009,+72.178,+0,+75,+1274.89,+24922.3
2009-08-08 22:49:00 PDT,+90.2695,+72.16,+0,+75,+1274.89,+24943.6
2009-08-08 22:50:00 PDT,+90.2382,+72.142,+0,+75,+1274.89,+24964.8
2009-08-08 22:51:00 PDT,+90.2069,+72.124,+0,+75,+1274.89,+24986.1
2009-08-08 22:52:00 PDT,+90.1757,+72.106,+0,+75,+1274.89,+25007.3
2009-08-08 22:53:00 PDT,+90.1445,+72.088,+0,+75,+1274.89,+25028.6
2009-08-08 22:54:00 PDT,+90.1134,+72.07,+0,+75,+1274.89,+25049.8
2009-08-08 22:55:00 PDT,+90.0823,+72.052,+0,+75,+1274.89,+25071.1
2009-08-08 22:56:00 PDT,+90.0513,+72.034,+0,+75,+1274.89,+25092.3
2009-08-08 22:57:00 PDT,+90.0203,+72.016,+0,+75,+1274.89,+25113.6
2009-08-08 22:58:00 PDT,+89.9894,+71.998,+0,+75,+1274.89,+25134.8
2009-08-08 22:59:00 PDT,+89.9585,+71.98,+0,+75,+1274.89,+25156.1
2009-08-08 23:00:00 PDT,+89.9276,+71.962,+0,+75,+1274.89,+25177.3
2009-08-08 23:01:00 PDT,+89.8968,+71.896,+0,+75,+1274.89,+25198.6
2009-08-08 23:02:00 PDT,+89.8654,+71.83,+0,+75,+1274.89,+25219.8
2009-08-08 23:03:00 PDT,+89.8337,+71.764,+0,+75,+1274.89,+25241.1
2009-08-08 23:04:00 PDT,+89.8016,+71.698,+0,+75,+1274.89,+25262.3
2009-08-08 23:05:00 PDT,+89.7692,+71.632,+0,+75,+1274.89,+25283.6
2009-08-08 23:06:00 PDT,+89.7365,+71.566,+0,+75,+1274.89,+25304.8
2009-08-08 23:07:00 PDT,+89.7036,+71.5,+0,+75,+1274.89,+25326.1
2009-08-08 23:08:00 PDT,+89.6705,+71.434,+0,+75,+1274.89,+25347.3
2009-08-08 23:09:00 PDT,+89.6373,+71.368,+0,+75,+1274.89,+25368.5
2009-08-08 23:10:00 PDT,+89.6038,+71.302,+0,+75,+1274.89,+25389.8
2009-08-08 23:11:00 PDT,+89.5703,+71.236,+0,+75,+1274.89,+25411
2009-08-08 23:12:00 PDT,+89.5366,+71.17,+0,+75,+1274.89,+25432.3
2009-08-08 23:13:00 PDT,+89.5028,+71.104,+0,+75,+1274.89,+25453.5
2009-08-08 23:14:00 PDT,+89.4689,+71.038,+0,+75,+1274.89,+25474.8
2009-08-08 23:15:00 PDT,+89.4349,+70.972,+0,+75,+1274.89,+25496
2009-08-08 23:16:00 PDT,+89.4008,+70.906,+0,+75,+1274.89,+25517.3
2009-08-08 23:17:00 PDT,+89.3666,+70.84,+0,+75,+1274.89,+25538.5
2009-08-08 23:18:00 PDT,+89.3323,+70.774,+0,+75,+1274.89,+25559.8
2009-08-08 23:19:00 PDT,+89.2979,+70.708,+0,+75,+1274.89,+25581
2009-08-08 23:20:00 PDT,+89.2634,+70.642,+0,+75,+1274.89,+25602.3
2009-08-08 23:21:00 PDT,+89.2289,+70.576,+0,+75,+1274.89,+25623.5
2009-08-08 23:22:00 PDT,+89.1943,+70.51,+0,+75,+1274.89,+25644.8
2009-08-08 23:23:00 PDT,+89.1596,+70.444,+0,+75,+1274.89,+25666
2009-08-08 23:24:00 PDT,+89.1248,+70.378,+0,+75,+1274.89,+25687.3
2009-08-08 23:25:00 PDT,+89.09,+70.312,+0,+75,+1274.89,+25708.5
2009-08-08 23:26:00 PDT,+89.0551,+70.246,+0,+75,+1274.89,+25729.8
2009-08-08 23:27:00 PDT,+89.0201,+70.18,+0,+75,+1274.89,+25751
2009-08-08 23:28:00 PDT,+88.985,+70.114,+0,+75,+1274.89,+25772.3
2009-08-08 23:29:00 PDT,+88.9499,+70.048,+0,+75,+1274.89,+25793.5
2009-08-08 23:30:00 PDT,+88.9147,+69.982,+0,+75,+1274.89,+25814.8
2009-08-08 23:31:00 PDT,+88.8794,+69.916,+0,+75,+1274.89,+25836
2009-08-08 23:32:00 PDT,+88.8441,+69.85,+0,+75,+1274.89,+25857.3
2009-08-08 23:33:00 PDT,+88.8087,+69.784,+0,+75,+1274.89,+25878.5
2009-08-08 23:34:00 PDT,+88.7732,+69.718,+0,+75,+1274.89,+25899.8
2009-08-08 23:35:00 PDT,+88.7377,+69.652,+0,+75,+1066.19,+25921
2009-08-08 23:36:00 PDT,+88.6979,+69.586,+0,+75,+1066.19,+25938.8
2009-08-08 23:37:00 PDT,+88.6585,+69.52,+0,+75,+1066.19,+25956.5
2009-08-08 23:38:00 PDT,+88.6194,+69.454,+0,+75,+1066.19,+25974.3
2009-08-08 23:39:00 PDT,+88.5806,+69.388,+0,+75,+1066.19,+25992.1
2009-08-08 23:40:00 PDT,+88.5419,+69.322,+0,+75,+1066.19,+26009.8
2009-08-08 23:41:00 PDT,+88.5034,+69.256,+0,+75,+1066.19,+26027.6
2009-08-08 23:42:00 PDT,+88.465,+69.19,+0,+75,+1066.19,+26045.4
2009-08-08 23:43:00 PDT,+88.4267,+69.124,+0,+75,+1066.19,+26063.2
2009-08-08 23:44:00 PDT,+88.3884,+69.058,+0,+75,+1066.19,+26080.9
2009-08-08 23:45:00 PDT,+88.3502,+68.992,+0,+75,+1066.19,+26098.7
2009-08-08 23:46:00 PDT,+88.312,+68.926,+0,+75,+1066.19,+26116.5
2009-08-08 23:47:00 PDT,+88.2737,+68.86,+0,+75,+1066.19,+26134.2
2009-08-08 23:48:00 PDT,+88.2355,+68.794,+0,+75,+1066.19,+26152
2009-08-08 23:49:00 PDT,+88.1972,+68.728,+0,+75,+1066.19,+26169.8
2009-08-08 23:50:00 PDT,+88.1589,+68.662,+0,+75,+1066.19,+26187.5
2009-08-08 23:51:00 PDT,+88.1206,+68.596,+0,+75,+1066.19,+26205.3
2009-08-08 23:52:00 PDT,+88.0822,+68.53,+0,+75,+1066.19,+26223.1
2009-08-08 23:53:00 PDT,+88.0438,+68.464,+0,+75,+1066.19,+26240.9
2009-08-08 23:54:00 PDT,+88.0053,+68.398,+0,+75,+1066.19,+26258.6
2009-08-08 23:55:00 PDT,+87.9668,+68.332,+0,+75,+1066.19,+26276.4
2009-08-08 23:56:00 PDT,+87.9282,+68.266,+0,+75,+1066.19,+26294.2
2009-08-08 23:57:00 PDT,+87.8896,+68.2,+0,+75,+1066.19,+26311.9
2009-08-08 23:58:00 PDT,+87.8509,+68.134,+0,+75,+1066.19,+26329.7
2009-08-08 23:59:00 PDT,+87.8122,+68.068,+0,+75,+1066.19,+26347.5
2009-08-09 00:00:00 PDT,+87.7734,+68.002,+0,+75,+1066.19,+26365.2
2009-08-09 00:01:00 PDT,+87.7346,+67.969,+0,+75,+1066.19,+26383
2009-08-09 00:02:00 PDT,+87.696,+67.936,+0,+75,+1066.19,+26400.8
2009-08-09 00:03:00 PDT,+87.6577,+67.903,+0,+75,+1066.19,+26418.6
2009-08-09 00:04:00 PDT,+87.6196,+67.87,+0,+75,+1066.19,+26436.3
2009-08-09 00:05:00 PDT,+87.5817,+67.837,+0,+75,+1066.19,+26454.1
2009-08-09 00:06:00 PDT,+87.5439,+67.804,+0,+75,+1066.19,+26471.9
2009-08-09 00:07:00 PDT,+87.5063,+67.771,+0,+75,+1066.19,+26489.6
2009-08-09 00:08:00 PDT,+87.4687,+67.738,+0,+75,+1066.19,+26507.4
2009-08-09 00:09:00 PDT,+87.4312,+67.705,+0,+75,+1066.19,+26525.2
2009-08-09 00:10:00 PDT,+87.3938,+67.672,+0,+75,+1066.19,+26542.9
2009-08-09 00:11:00 PDT,+87.3564,+67.639,+0,+75,+1066.19,+26560.7
2009-08-09 00:12:00 PDT,+87.3191,+67.606,+0,+75,+1066.19,+26578.5
2009-08-09 00:13:00 PDT,+87.2819,+67.573,+0,+75,+1066.19,+26596.3
2009-08-09 00:14:00 PDT,+87.2446,+67.54,+0,+75,+1066.19,+26614
2009-08-09 00:15:00 PDT,+87.2074,+67.507,+0,+75,+1066.19,+26631.8
2009-08-09 00:16:00 PDT,+87.1702,+67.474,+0,+75,+1066.19,+26649.6
2009-08-09 00:17:00 PDT,+87.1331,+67.441,+0,+75,+1066.19,+26667.3
2009-08-09 00:18:00 PDT,+87.096,+67.408,+0,+75,+1066.19,+26685.1
2009-08-09 00:19:00 PDT,+87.0588,+67.375,+0,+75,+1066.19,+26702.9
2009-08-09 00:20:00 PDT,+87.0217,+67.342,+0,+75,+1066.19,+26720.6
2009-08-09 00:21:00 PDT,+86.9847,+67.309,+0,+75,+1066.19,+26738.4
2009-08-09 00:22:00 PDT,+86.9476,+67.276,+0,+75,+1066.19,+26756.2
2009-08-09 00:23:00 PDT,+86.9105,+67.243,+0,+75,+1066.19,+26773.9
2009-08-09 00:24:00 PDT,+86.8735,+67.21,+0,+75,+1066.19,+26791.7
2009-08-09 00:25:00 PDT,+86.8365,+67.177,+0,+75,+1066.19,+26809.5
2009-08-09 00:26:00 PDT,+86.7994,+67.144,+0,+75,+1066.19,+26827.3
2009-08-09 00:27:00 PDT,+86.7624,+67.111,+0,+75,+1066.19,+26845
2009-08-09 00:28:00 PDT,+86.7254,+67.078,+0,+75,+1066.19,+26862.8
2009-08-09 00:29:00 PDT,+86.6884,+67.045,+0,+75,+1066.19,+26880.6
2009-08-09 00:30:00 PDT,+86.6515,+67.012,+0,+75,+1066.19,+26898.3
2009-08-09 00:31:00 PDT,+86.6145,+66.979,+0,+75,+1066.19,+26916.1
2009-08-09 00:32:00 PDT,+86.5775,+66.946,+0,+75,+1066.19,+26933.9
2009-08-09 00:33:00 PDT,+86.5406,+66.913,+0,+75,+1066.19,+26951.6
2009-08-09 00:34:00 PDT,+86.5036,+66.88,+0,+75,+1066.19,+26969.4
2009-08-09 00:35:00 PDT,+86.4667,+66.847,+0,+75,+949.437,+26987.2
2009-08-09 00:36:00 PDT,+86.4274,+66.814,+0,+75,+949.437,+27003
2009-08-09 00:37:00 PDT,+86.3885,+66.781,+0,+75,+949.437,+27018.8
2009-08-09 00:38:00 PDT,+86.3497,+66.748,+0,+75,+949.437,+27034.7
2009-08-09 00:39:00 PDT,+86.3111,+66.715,+0,+75,+949.437,+27050.5
2009-08-09 00:40:00 PDT,+86.2727,+66.682,+0,+75,+949.437,+27066.3
2009-08-09 00:41:00 PDT,+86.2344,+66.649,+0,+75,+949.437,+27082.1
2009-08-09 00:42:00 PDT,+86.1962,+66.616,+0,+75,+949.437,+27098
2009-08-09 00:43:00 PDT,+86.1581,+66.583,+0,+75,+949.437,+27113.8
2009-08-09 00:44:00 PDT,+86.1201,+66.55,+0,+75,+949.437,+27129.6
2009-08-09 00:45:00 PDT,+86.0821,+66.517,+0,+75,+949.437,+27145.4
2009-08-09 00:46:00 PDT,+86.0442,+66.484,+0,+75,+949.437,+27161.3
2009-08-09 00:47:00 PDT,+86.0063,+66.451,+0,+75,+949.437,+27177.1
2009-08-09 00:48:00 PDT,+85.9685,+66.418,+0,+75,+949.439,+27192.9
2009-08-09 00:49:00 PDT,+85.9307,+66.385,+0,+75,+949.439,+27208.7
2009-08-09 00:50:00 PDT,+85.8929,+66.352,+0,+75,+949.439,+27224.5
2009-08-09 00:51:00 PDT,+85.8552,+66.319,+0,+75,+949.439,+27240.4
2009-08-09 00:52:00 PDT,+85.8174,+66.286,+0,+75,+949.439,+27256.2
2009-08-09 00:53:00 PDT,+85.7797,+66.253,+0,+75,+949.439,+27272
2009-08-09 00:54:00 PDT,+85.7421,+66.22,+0,+75,+949.439,+27287.8
