# file...... HVAC_Data.csv
# date...... Tue Nov 02 09:17:01 2010
# user...... D3P313
# host...... (null)
# group..... class=house
# trigger... (none)
# interval.. 60
# limit..... 2880
# property.. timestamp,sum(hvac_power.real),sum(hvac_power.imag),sum(is_HEAT_on),sum(is_AUX_on),sum(is_COOL_on) 
2000-08-01 05:34:00 PDT,+4.00455,+1.168,+13,+0,+0
2000-08-01 05:35:00 PDT,+4.0043,+1.16792,+13,+0,+0
2000-08-01 05:36:00 PDT,+3.47077,+1.01231,+11,+0,+0
2000-08-01 05:37:00 PDT,+3.46901,+1.0118,+11,+0,+0
2000-08-01 05:38:00 PDT,+3.88432,+1.13293,+12,+0,+0
2000-08-01 05:39:00 PDT,+3.47241,+1.01279,+11,+0,+0
2000-08-01 05:40:00 PDT,+3.16052,+0.921819,+10,+0,+0
2000-08-01 05:41:00 PDT,+1.89594,+0.552982,+6,+0,+0
2000-08-01 05:42:00 PDT,+2.20679,+0.643647,+7,+0,+0
2000-08-01 05:43:00 PDT,+2.51917,+0.734759,+8,+0,+0
2000-08-01 05:44:00 PDT,+1.88397,+0.549491,+6,+0,+0
2000-08-01 05:45:00 PDT,+1.57325,+0.458863,+5,+0,+0
2000-08-01 05:46:00 PDT,+0.629742,+0.183675,+2,+0,+0
2000-08-01 05:47:00 PDT,+0.945445,+0.275755,+3,+0,+0
2000-08-01 05:48:00 PDT,+1.26226,+0.36816,+4,+0,+0
2000-08-01 05:49:00 PDT,+1.89121,+0.551603,+6,+0,+0
2000-08-01 05:50:00 PDT,+1.5764,+0.459783,+5,+0,+0
