# file...... output.csv
# date...... Thu Sep 03 17:42:37 2009
# user...... D3G637
# host...... (null)
# group..... class=house
# trigger... (none)
# interval.. -1
# limit..... 0
# property.. timestamp,sum(panel.power.real),sum(panel.power.imag)
2009-08-02 19:20:22 PDT,1112.33,10.6357
2009-08-02 19:20:54 PDT,1123.58,10.6357
2009-08-02 19:21:25 PDT,1112.33,10.6357
2009-08-02 19:21:56 PDT,1123.58,10.6357
2009-08-02 19:22:04 PDT,1108.17,10.6357
2009-08-02 19:22:38 PDT,1123.58,10.6357
2009-08-02 19:23:12 PDT,1108.17,10.6357
2009-08-02 19:23:46 PDT,1123.58,10.6357
2009-08-02 19:24:20 PDT,1108.17,10.6357
2009-08-02 19:24:54 PDT,1123.58,10.6357
2009-08-02 19:25:27 PDT,1108.17,10.6357
2009-08-02 19:26:01 PDT,1123.58,10.6357
2009-08-02 19:26:12 PDT,1110.01,10.6357
2009-08-02 19:26:37 PDT,1123.58,10.6357
2009-08-02 19:27:02 PDT,1110.01,10.6357
2009-08-02 19:27:27 PDT,1123.58,10.6357
2009-08-02 19:27:52 PDT,1110.01,10.6357
2009-08-02 19:28:17 PDT,1123.58,10.6357
2009-08-02 19:28:40 PDT,1110.96,10.6357
2009-08-02 19:28:46 PDT,1095.3,10.6357
2009-08-02 19:29:20 PDT,1110.96,10.6357
2009-08-02 19:29:39 PDT,1085.71,10.6357
2009-08-02 19:30:04 PDT,1099.29,10.6357
2009-08-02 19:30:29 PDT,1085.71,10.6357
2009-08-02 19:30:50 PDT,1074.82,10.6357
2009-08-02 19:31:17 PDT,1065.69,10.6357
2009-08-02 19:31:45 PDT,1055.99,10.6357
2009-08-02 19:32:11 PDT,1065.69,10.6357
2009-08-02 19:32:31 PDT,1056.35,10.6357
2009-08-02 19:32:56 PDT,1065.69,10.6357
2009-08-02 19:33:21 PDT,1056.35,10.6357
2009-08-02 19:33:40 PDT,1043.26,10.6357
2009-08-02 19:33:44 PDT,1033.73,10.6357
2009-08-02 19:34:15 PDT,1043.26,10.6357
2009-08-02 19:34:29 PDT,1029.61,10.6357
2009-08-02 19:34:57 PDT,1043.26,10.6357
2009-08-02 19:35:25 PDT,1029.61,10.6357
2009-08-02 19:35:53 PDT,1043.26,10.6357
2009-08-02 19:36:21 PDT,1029.61,10.6357
2009-08-02 19:36:39 PDT,1020.54,10.6357
2009-08-02 19:36:49 PDT,1009.6,10.6357
2009-08-02 19:36:57 PDT,1020.49,10.6357
2009-08-02 19:37:25 PDT,997.266,10.6357
2009-08-02 19:37:52 PDT,1009.6,10.6357
2009-08-02 19:38:19 PDT,997.266,10.6357
2009-08-02 19:38:32 PDT,986.676,10.6357
2009-08-02 19:39:04 PDT,997.266,10.6357
2009-08-02 19:39:12 PDT,987.573,10.6357
2009-08-02 19:39:27 PDT,996.703,10.6357
2009-08-02 19:39:57 PDT,987.573,10.6357
2009-08-02 19:40:28 PDT,996.703,10.6357
2009-08-02 19:40:43 PDT,984.111,10.6357
2009-08-02 19:41:09 PDT,987.468,10.6357
2009-08-02 19:41:35 PDT,974.876,10.6357
2009-08-02 19:41:36 PDT,962.024,10.6357
2009-08-02 19:41:56 PDT,953.672,10.6357
2009-08-02 19:42:25 PDT,962.024,10.6357
2009-08-02 19:42:27 PDT,972.921,10.6357
2009-08-02 19:42:56 PDT,962.024,10.6357
2009-08-02 19:43:26 PDT,972.921,10.6357
2009-08-02 19:43:35 PDT,987.456,10.6357
2009-08-02 19:43:58 PDT,972.921,10.6357
2009-08-02 19:44:22 PDT,1001.03,10.6357
2009-08-02 19:44:33 PDT,989.422,10.6357
2009-08-02 19:45:04 PDT,1001.03,10.6357
2009-08-02 19:45:07 PDT,985.368,10.6357
2009-08-02 19:45:41 PDT,1001.03,10.6357
2009-08-02 19:46:15 PDT,985.368,10.6357
2009-08-02 19:46:34 PDT,969.961,10.6357
2009-08-02 19:46:49 PDT,958.71,10.6357
2009-08-02 19:47:20 PDT,969.961,10.6357
2009-08-02 19:47:51 PDT,958.71,10.6357
2009-08-02 19:48:22 PDT,969.961,10.6357
2009-08-02 19:48:53 PDT,947.517,10.6357
2009-08-02 19:49:25 PDT,969.961,10.6357
2009-08-02 19:49:39 PDT,960.432,10.6357
2009-08-02 19:49:42 PDT,946.416,10.6357
2009-08-02 19:50:11 PDT,960.432,10.6357
2009-08-02 19:50:40 PDT,946.416,10.6357
2009-08-02 19:51:10 PDT,949.434,10.6357
2009-08-02 19:51:38 PDT,960.432,10.6357
2009-08-02 19:51:53 PDT,950.125,10.6357
2009-08-02 19:52:03 PDT,937.914,10.6357
2009-08-02 19:52:37 PDT,950.125,10.6357
2009-08-02 19:52:43 PDT,941.739,10.6357
2009-08-02 19:52:48 PDT,927.724,10.6357
2009-08-02 19:53:17 PDT,941.739,10.6357
2009-08-02 19:53:46 PDT,927.724,10.6357
2009-08-02 19:54:02 PDT,939.397,10.6357
2009-08-02 19:54:34 PDT,927.724,10.6357
2009-08-02 19:55:07 PDT,939.397,10.6357
2009-08-02 19:55:39 PDT,927.724,10.6357
2009-08-02 19:55:48 PDT,917.734,10.6357
2009-08-02 19:56:00 PDT,904.938,10.6357
2009-08-02 19:56:31 PDT,917.734,10.6357
2009-08-02 19:56:48 PDT,908.293,10.6357
2009-08-02 19:56:59 PDT,895.337,10.6357
2009-08-02 19:57:08 PDT,872.634,10.6357
2009-08-02 19:57:33 PDT,886.207,10.6357
2009-08-02 19:57:48 PDT,871.672,10.6357
2009-08-02 19:58:12 PDT,886.207,10.6357
2009-08-02 19:58:21 PDT,876.679,10.6357
2009-08-02 19:58:41 PDT,885.914,10.6357
2009-08-02 19:59:11 PDT,876.679,10.6357
2009-08-02 19:59:25 PDT,886.017,10.6357
2009-08-02 19:59:29 PDT,874.959,10.6357
2009-08-02 19:59:33 PDT,858.349,10.6357
2009-08-02 19:59:43 PDT,846.561,10.6357
2009-08-02 20:00:00 PDT,838.327,10.4614
2009-08-02 20:01:57 PDT,827.534,10.4614
2009-08-02 20:01:59 PDT,817.024,10.4614
2009-08-02 20:02:31 PDT,827.534,10.4614
2009-08-02 20:02:36 PDT,818.345,10.4614
2009-08-02 20:03:06 PDT,827.534,10.4614
2009-08-02 20:03:36 PDT,818.345,10.4614
2009-08-02 20:04:06 PDT,813.898,10.4614
2009-08-02 20:04:21 PDT,799.26,10.4614
2009-08-02 20:04:48 PDT,811.185,10.4614
2009-08-02 20:04:52 PDT,799.727,10.4614
2009-08-02 20:05:00 PDT,777.975,10.4614
2009-08-02 20:05:12 PDT,767.083,10.4614
2009-08-02 20:05:32 PDT,755.997,10.4614
2009-08-02 20:06:04 PDT,767.083,10.4614
2009-08-02 20:06:20 PDT,755.354,10.4614
2009-08-02 20:06:23 PDT,744.865,10.4614
2009-08-02 20:06:46 PDT,731.422,10.4614
2009-08-02 20:07:01 PDT,720.284,10.4614
2009-08-02 20:07:14 PDT,705.617,10.4614
2009-08-02 20:07:31 PDT,694.474,10.4614
2009-08-02 20:07:37 PDT,686.202,10.4614
2009-08-02 20:08:05 PDT,694.474,10.4614
2009-08-02 20:08:31 PDT,683.672,10.4614
2009-08-02 20:09:03 PDT,694.474,10.4614
2009-08-02 20:09:35 PDT,683.672,10.4614
2009-08-02 20:09:55 PDT,671.833,10.4614
2009-08-02 20:09:57 PDT,663.561,10.4614
2009-08-02 20:10:25 PDT,671.833,10.4614
2009-08-02 20:10:29 PDT,663.07,10.4614
2009-08-02 20:10:49 PDT,652.852,10.4614
2009-08-02 20:11:17 PDT,651.81,10.4614
2009-08-02 20:11:44 PDT,663.07,10.4614
2009-08-02 20:12:11 PDT,651.81,10.4614
2009-08-02 20:12:18 PDT,641.082,10.4614
2009-08-02 20:12:32 PDT,630.863,10.4614
2009-08-02 20:12:34 PDT,619.367,10.4614
2009-08-02 20:12:49 PDT,604.971,10.4614
2009-08-02 20:13:12 PDT,619.367,10.4614
2009-08-02 20:13:28 PDT,606.694,10.4614
2009-08-02 20:13:55 PDT,597.256,10.4614
2009-08-02 20:14:29 PDT,606.694,10.4614
2009-08-02 20:15:03 PDT,597.256,10.4614
2009-08-02 20:15:37 PDT,606.694,10.4614
2009-08-02 20:16:11 PDT,597.256,10.4614
2009-08-02 20:16:46 PDT,606.694,10.4614
2009-08-02 20:17:02 PDT,596.161,10.4614
2009-08-02 20:17:32 PDT,621.333,10.4614
2009-08-02 20:18:01 PDT,607.155,10.4614
2009-08-02 20:18:32 PDT,621.333,10.4614
2009-08-02 20:18:37 PDT,610.8,10.4614
2009-08-02 20:18:43 PDT,601.756,10.4614
2009-08-02 20:18:44 PDT,614.485,10.4614
2009-08-02 20:19:14 PDT,587.117,10.4614
2009-08-02 20:19:45 PDT,614.485,10.4614
2009-08-02 20:19:47 PDT,601.933,10.4614
2009-08-02 20:19:53 PDT,590.847,10.4614
2009-08-02 20:20:01 PDT,581.657,10.4614
2009-08-02 20:20:04 PDT,567.261,10.4614
2009-08-02 20:20:07 PDT,580.772,10.4614
2009-08-02 20:20:19 PDT,567.094,10.4614
2009-08-02 20:20:47 PDT,580.772,10.4614
2009-08-02 20:21:08 PDT,589.814,10.4614
2009-08-02 20:21:38 PDT,580.772,10.4614
2009-08-02 20:21:51 PDT,571.56,10.4614
2009-08-02 20:22:05 PDT,559.465,10.4614
2009-08-02 20:22:11 PDT,547.519,10.4614
2009-08-02 20:22:34 PDT,535.606,10.4614
2009-08-02 20:22:47 PDT,526.357,10.4614
2009-08-02 20:23:11 PDT,535.606,10.4614
2009-08-02 20:23:35 PDT,526.357,10.4614
2009-08-02 20:24:00 PDT,535.606,10.4614
2009-08-02 20:24:03 PDT,524.538,10.4614
2009-08-02 20:24:05 PDT,511.82,10.4614
2009-08-02 20:24:36 PDT,524.538,10.4614
2009-08-02 20:25:07 PDT,511.82,10.4614
2009-08-02 20:25:36 PDT,500.731,10.4614
2009-08-02 20:26:06 PDT,511.82,10.4614
2009-08-02 20:26:36 PDT,500.731,10.4614
2009-08-02 20:26:39 PDT,488.902,10.4614
2009-08-02 20:27:10 PDT,500.731,10.4614
2009-08-02 20:27:22 PDT,489.63,10.4614
2009-08-02 20:27:49 PDT,500.731,10.4614
2009-08-02 20:28:01 PDT,487.054,10.4614
2009-08-02 20:28:28 PDT,490.55,10.4614
2009-08-02 20:28:45 PDT,478.177,10.4614
2009-08-02 20:28:51 PDT,465.56,10.4614
2009-08-02 20:29:12 PDT,455.05,10.4614
2009-08-02 20:29:31 PDT,447.563,10.4614
