# file...... voltage_data.csv
# date...... Wed Sep 14 09:17:52 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 5
# limit..... 0
# timestamp,substation_reg:tap_A, substation_meter:measured_voltage_A, feeder_meter:measured_voltage_A, branch_1_meter_1:measured_voltage_A, branch_1_meter_2:measured_voltage_A, branch_1_meter_3:measured_voltage_A, b1m1_house_meter:voltage_1, b1m2_house_meter:voltage_1, b1m3_house_meter:voltage_1
2009-08-08 04:35:45 PDT,-1,+7216-0.000143846d,+7171.18-0.000143969d,+7155.51-0.177783d,+7153.45-0.21352d,+7149.23-0.275169d,+123.204-0.248568d,+123.197-0.235713d,+123.127-0.3004d
2009-08-08 04:35:50 PDT,-1,+7216-0.000143846d,+7171.18-0.000143969d,+7155.51-0.177783d,+7153.45-0.21352d,+7149.23-0.275169d,+123.204-0.248569d,+123.197-0.235713d,+123.127-0.3004d
2009-08-08 04:35:55 PDT,-1,+7216-0.000143846d,+7171.18-0.000143969d,+7155.51-0.177783d,+7153.45-0.21352d,+7149.23-0.275169d,+123.204-0.248569d,+123.197-0.235713d,+123.127-0.3004d
2009-08-08 04:36:00 PDT,-1,+7216-0.000143828d,+7171.18-0.000143951d,+7155.52-0.177753d,+7153.46-0.213489d,+7149.23-0.275139d,+123.204-0.248519d,+123.197-0.235682d,+123.127-0.300369d
2009-08-08 04:36:05 PDT,-1,+7216-0.000143828d,+7171.18-0.000143951d,+7155.52-0.177753d,+7153.46-0.21349d,+7149.23-0.275139d,+123.204-0.248519d,+123.197-0.235683d,+123.127-0.300369d
2009-08-08 04:36:10 PDT,-1,+7216-0.000143828d,+7171.18-0.000143951d,+7155.52-0.177753d,+7153.46-0.21349d,+7149.23-0.275139d,+123.204-0.24852d,+123.197-0.235683d,+123.127-0.300369d
2009-08-08 04:36:15 PDT,-1,+7216-0.000143828d,+7171.18-0.000143951d,+7155.52-0.177753d,+7153.46-0.21349d,+7149.23-0.275139d,+123.204-0.24852d,+123.197-0.235683d,+123.127-0.30037d
2009-08-08 04:36:20 PDT,-1,+7216-0.000143828d,+7171.18-0.000143951d,+7155.52-0.177753d,+7153.46-0.21349d,+7149.23-0.275139d,+123.204-0.24852d,+123.197-0.235683d,+123.127-0.30037d
2009-08-08 04:36:25 PDT,-1,+7216-0.000143828d,+7171.18-0.000143951d,+7155.52-0.177753d,+7153.46-0.21349d,+7149.23-0.275139d,+123.204-0.24852d,+123.197-0.235683d,+123.127-0.30037d
2009-08-08 04:36:30 PDT,-1,+7216-0.000143828d,+7171.18-0.000143952d,+7155.52-0.177754d,+7153.46-0.21349d,+7149.23-0.275139d,+123.204-0.24852d,+123.197-0.235683d,+123.127-0.30037d
2009-08-08 04:36:35 PDT,-1,+7216-0.000143828d,+7171.18-0.000143952d,+7155.52-0.177754d,+7153.46-0.21349d,+7149.23-0.27514d,+123.204-0.24852d,+123.197-0.235683d,+123.127-0.30037d
2009-08-08 04:36:40 PDT,-1,+7216-0.000143828d,+7171.18-0.000143952d,+7155.52-0.177754d,+7153.46-0.21349d,+7149.23-0.27514d,+123.204-0.248521d,+123.197-0.235683d,+123.127-0.30037d
2009-08-08 04:36:45 PDT,-1,+7216-0.000143828d,+7171.18-0.000143952d,+7155.52-0.177754d,+7153.46-0.21349d,+7149.23-0.27514d,+123.204-0.248521d,+123.197-0.235683d,+123.127-0.30037d
2009-08-08 04:36:50 PDT,-1,+7216-0.000143828d,+7171.18-0.000143952d,+7155.52-0.177754d,+7153.46-0.213491d,+7149.23-0.27514d,+123.204-0.248521d,+123.197-0.235684d,+123.127-0.30037d
2009-08-08 04:36:55 PDT,-1,+7216-0.000143828d,+7171.18-0.000143952d,+7155.52-0.177754d,+7153.46-0.213491d,+7149.23-0.27514d,+123.204-0.248521d,+123.197-0.235684d,+123.127-0.30037d
2009-08-08 04:37:00 PDT,-1,+7216-0.00014381d,+7171.18-0.000143934d,+7155.52-0.177724d,+7153.46-0.21346d,+7149.24-0.275109d,+123.204-0.248472d,+123.197-0.235653d,+123.127-0.30034d
2009-08-08 04:37:05 PDT,-1,+7216-0.00014381d,+7171.18-0.000143934d,+7155.52-0.177724d,+7153.46-0.21346d,+7149.24-0.27511d,+123.204-0.248472d,+123.197-0.235653d,+123.127-0.30034d
2009-08-08 04:37:10 PDT,-1,+7216-0.00014381d,+7171.18-0.000143934d,+7155.52-0.177724d,+7153.46-0.21346d,+7149.24-0.27511d,+123.204-0.248472d,+123.197-0.235653d,+123.127-0.30034d
2009-08-08 04:37:15 PDT,-1,+7216-0.00014381d,+7171.18-0.000143934d,+7155.52-0.177724d,+7153.46-0.213461d,+7149.24-0.27511d,+123.204-0.248472d,+123.197-0.235654d,+123.127-0.30034d
2009-08-08 04:37:20 PDT,-1,+7216-0.00014381d,+7171.18-0.000143934d,+7155.52-0.177724d,+7153.46-0.213461d,+7149.24-0.27511d,+123.204-0.248472d,+123.197-0.235654d,+123.127-0.30034d
2009-08-08 04:37:25 PDT,-1,+7216-0.000143811d,+7171.18-0.000143934d,+7155.52-0.177724d,+7153.46-0.213461d,+7149.24-0.27511d,+123.204-0.248473d,+123.197-0.235654d,+123.127-0.30034d
2009-08-08 04:37:30 PDT,-1,+7216-0.000143811d,+7171.18-0.000143934d,+7155.52-0.177724d,+7153.46-0.213461d,+7149.24-0.27511d,+123.204-0.248473d,+123.197-0.235654d,+123.127-0.300341d
2009-08-08 04:37:35 PDT,-1,+7216-0.000143811d,+7171.18-0.000143934d,+7155.52-0.177724d,+7153.46-0.213461d,+7149.24-0.27511d,+123.204-0.248473d,+123.197-0.235654d,+123.127-0.300341d
2009-08-08 04:37:40 PDT,-1,+7216-0.000143811d,+7171.18-0.000143934d,+7155.52-0.177725d,+7153.46-0.213461d,+7149.24-0.27511d,+123.204-0.248473d,+123.197-0.235654d,+123.127-0.300341d
2009-08-08 04:37:45 PDT,-1,+7216-0.000143811d,+7171.18-0.000143934d,+7155.52-0.177725d,+7153.46-0.213461d,+7149.24-0.275111d,+123.204-0.248473d,+123.197-0.235654d,+123.127-0.300341d
2009-08-08 04:37:50 PDT,-1,+7216-0.000143811d,+7171.18-0.000143934d,+7155.52-0.177725d,+7153.46-0.213461d,+7149.24-0.275111d,+123.204-0.248473d,+123.197-0.235654d,+123.127-0.300341d
2009-08-08 04:37:55 PDT,-1,+7216-0.000143811d,+7171.18-0.000143934d,+7155.52-0.177725d,+7153.46-0.213461d,+7149.24-0.275111d,+123.204-0.248474d,+123.197-0.235654d,+123.127-0.300341d
2009-08-08 04:38:00 PDT,-1,+7216-0.000143793d,+7171.18-0.000143916d,+7155.53-0.177694d,+7153.46-0.213431d,+7149.24-0.27508d,+123.204-0.248424d,+123.197-0.235624d,+123.127-0.300311d
2009-08-08 04:38:05 PDT,-1,+7216-0.000143793d,+7171.18-0.000143916d,+7155.53-0.177695d,+7153.46-0.213431d,+7149.24-0.27508d,+123.204-0.248424d,+123.197-0.235624d,+123.127-0.300311d
2009-08-08 04:38:10 PDT,-1,+7216-0.000143793d,+7171.18-0.000143916d,+7155.53-0.177695d,+7153.46-0.213431d,+7149.24-0.27508d,+123.204-0.248425d,+123.197-0.235624d,+123.127-0.300311d
2009-08-08 04:38:15 PDT,-1,+7216-0.000143793d,+7171.18-0.000143916d,+7155.53-0.177695d,+7153.46-0.213431d,+7149.24-0.275081d,+123.204-0.248425d,+123.197-0.235624d,+123.127-0.300311d
2009-08-08 04:38:20 PDT,-1,+7216-0.000143793d,+7171.18-0.000143916d,+7155.53-0.177695d,+7153.46-0.213431d,+7149.24-0.275081d,+123.204-0.248425d,+123.197-0.235624d,+123.127-0.300311d
2009-08-08 04:38:25 PDT,-1,+7216-0.000143793d,+7171.18-0.000143916d,+7155.53-0.177695d,+7153.46-0.213432d,+7149.24-0.275081d,+123.204-0.248425d,+123.197-0.235625d,+123.127-0.300311d
2009-08-08 04:38:30 PDT,-1,+7216-0.000143793d,+7171.18-0.000143917d,+7155.53-0.177695d,+7153.46-0.213432d,+7149.24-0.275081d,+123.204-0.248425d,+123.197-0.235625d,+123.127-0.300311d
2009-08-08 04:38:35 PDT,-1,+7216-0.000143793d,+7171.18-0.000143917d,+7155.53-0.177695d,+7153.46-0.213432d,+7149.24-0.275081d,+123.204-0.248426d,+123.197-0.235625d,+123.127-0.300311d
2009-08-08 04:38:40 PDT,-1,+7216-0.000143793d,+7171.18-0.000143917d,+7155.53-0.177695d,+7153.46-0.213432d,+7149.24-0.275081d,+123.204-0.248426d,+123.197-0.235625d,+123.127-0.300312d
